Malzeme Kodu;Müşteri Malzeme Adı;Birim Satış Fiyat;Birim Maliyet Fiyat;Kur;Ornet Malzeme Adı;;;;;;
ORN0050;"DS-2RT8579WR-WRD 2 MP IP IR Turret Kamera (H.265+ , Dahili Mikrofon) 
2.0 MP Çözünürlük, 1/2, 8"" CMOS sensör, 0.028 Lux renkli, 2.8mm / 4mm sabit lens, IR Turret kamera, H.265, H.265+ sıkıştırma, 30 mt IR aydınlatma, DWDR, ICR, 3D DNR, BLC, ROI, HLC Maskeleme, Hareket algılama, Hareket algılama, Video kurcalama alarmı, Yasadışı oturum açma, IP66, Dahili mikrofon, 12V DC veya PoE";$64,00;$27,90;USD;"	 DS-2CD1121G2-LIUF 2 MP IP IR Turret Kamera (H.265+ , Dahili Mikrofon) 
2.0 MP Çözünürlük, 1/2, 8"" CMOS sensör, 0.028 Lux renkli, 2.8mm / 4mm sabit lens, IR Turret kamera, H.265, H.265+ sıkıştırma, 30 mt IR aydınlatma, DWDR, ICR, 3D DNR, BLC, ROI, HLC Maskeleme, Hareket algılama, Hareket algılama, Video kurcalama alarmı, Yasadışı oturum açma, IP66, Dahili mikrofon, 12V DC veya PoE";;;;;;
ORN0051;"DS-2RT5878WR-QFD (4mm) 2MP IP IR Bullet Kamera ( H.265+)
1/2.7"" PS CMOS, 0.028 Lux renkli, AGC, ICR, DWDR, 4mm sabit lens, 30mt IR aydınlatma mesafesi, ikili akış, hareket algılama, ROI, BLC, 3D DNR, Beyaz dengeleme, mikroSD desteği (~128GB), ANR, 1xRJ45, maskeleme, aynalama, IP67";$64,00;$27,90;USD;" DS-2CD1021G2-LIUF 2MP IP IR Bullet Kamera ( H.265+)
1/2.7"" PS CMOS, 0.028 Lux renkli, AGC, ICR, DWDR, 4mm sabit lens, 30mt IR aydınlatma mesafesi, ikili akış, hareket algılama, ROI, BLC, 3D DNR, Beyaz dengeleme, mikroSD desteği (~128GB), ANR, 1xRJ45, maskeleme, aynalama, IP67";;;;;;
ORN0052;"DS-2CD4451Q0-IW 2MP IR Cube Kamera (Wi-Fi + Sesli, H.265+)
1/2.7"" PS CMOS, 2.8mm Lens, 0,01, ICR, 3D DNR, 120dB WDR, PIR, BLC, HLC, ROI, Analizler (Hat ihlali, alan ihlali), Dahili Mikrofon, Dahili Speaker, MicroSD desteği (~128GB), SVC, Wi-Fi: ~50m menzil, WPA,WPA2, 802.11b/g/n, Besleme: 12 VDC , PoE (802.3af), 8mt IR Aydınlatma";$71,00;$33,00;USD;"DS-2CD2421G0-IW 2MP IR Cube Kamera (Wi-Fi + Sesli, H.265+)
1/2.7"" PS CMOS, 2.8mm Lens, 0,01, ICR, 3D DNR, 120dB WDR, PIR, BLC, HLC, ROI, Analizler (Hat ihlali, alan ihlali), Dahili Mikrofon, Dahili Speaker, MicroSD desteği (~128GB), SVC, Wi-Fi: ~50m menzil, WPA,WPA2, 802.11b/g/n, Besleme: 12 VDC , PoE (802.3af), 8mt IR Aydınlatma";;;;;;
ORN0053;RJ 45 Jack;$4,20;$2,30;USD;;;;;;;
ORN0054;TP-LINK RT5444 5 Port 10/100 Switch;$14,00;$7,00;USD;TP-LINK LS1005 5 Port 10/100 Switch;;;;;;
ORN0055;TP-LINK RT5448 8 Port 10/100 Switch;$22,00;$11,00;USD;TP-LINK LS1008 8 Port 10/100 Switch;;;;;;
ORN0056;TP-LINK TL-WR1416D 16 Port 10/100 Switch;$110,00;$80,00;USD;TP-LINK TL-SF1016D 16 Port 10/100 Switch;;;;;;
ORN0057;TP-LINK RT58QR 4 Port 10/100 +1 Port RJ45 UPLINK 41W 250 mt. POE Mesafe Metal Kasa Switch;$34,00;$16,00;USD;TP-LINK LS105LP 4 Port 10/100 +1 Port RJ45 UPLINK 41W 250 mt. POE Mesafe Metal Kasa Switch;;;;;;
ORN0058;TP-LINK LS109P 8 PORT 10/100 +1 Port RJ45 UPLINK 63W 250 mt. POE Mesafe Metal Kasa Switch;$71,00;$33,00;USD;TP-LINK LS109P 8 PORT 10/100 +1 Port RJ45 UPLINK 63W 250 mt. POE Mesafe Metal Kasa Switch;;;;;;
ORN0059;TP-LINK TL-KL5483RTW 16 Port Gigabit + 2X Gigabit SFP UPLINK Yönetilebilir 192W POE Rackmount Switch;$234,00;$110,00;USD;TP-LINK TL-SG1218MPE 16 Port Gigabit + 2X Gigabit SFP UPLINK Yönetilebilir 192W POE Rackmount Switch;;;;;;
ORN0060;TP-LINK TL-RT1527PE 24 Port Gibabit + 2X Gigabit RJ45/SFP UPLINK Yönetilebilir 250W POE Rackmount  Switch;$360,00;$180,00;USD;TP-LINK TL-SG1428PE 24 Port Gibabit + 2X Gigabit RJ45/SFP UPLINK Yönetilebilir 250W POE Rackmount  Switch;;;;;;
ORN0061;TP-LINK OMADA TL-HG35852Q 52 Port Gigabit L2+ 48 PORT POE+ 384W Yönetilebilir Rackmount Switch;$648,00;$324,00;USD;TP-LINK OMADA TL-SG3452P 52 Port Gigabit L2+ 48 PORT POE+ 384W Yönetilebilir Rackmount Switch;;;;;;
ORN0062;Switchmode Güç Kaynağı 12V 3A;$14,00;$6,00;USD;;;;;;;
ORN0063;Switchmode Güç Kaynağı 12V 5A;$22,00;$7,00;USD;;;;;;;
ORN0064;Switchmode Güç Kaynağı 12V 7A;$26,00;$8,00;USD;;;;;;;
ORN0065;Switchmode Güç Kaynağı 12V 10A;$34,00;$10,00;USD;;;;;;;
ORN0066;Switchmode Güç Kaynağı 12V 16,5A;$44,00;$16,00;USD;;;;;;;
ORN0067;WD 1TB 7200 Rpm Purple Harddisk;$168,00;$90,00;USD;;;;;;;
ORN0068;WD 2TB 7200 Rpm Purple Harddisk;$226,00;$97,00;USD;;;;;;;
ORN0069;WD 4TB 7200 Rpm Purple Harddisk;$198,00;$128,00;USD;;;;;;;
ORN0070;WD 6TB 7200 Rpm Purple Harddisk;$284,00;$190,00;USD;;;;;;;
ORN0071;WD 8TB 7200 RPM Purple Harddisk;392;265,2;USD;;;;;;;
ORN0072;WD 10TB 7200 Rpm Purple Harddisk;$498,00;$368,00;USD;;;;;;;
ORN0073;Kamera Buatı;$4,20;$2,30;USD;;;;;;;
ORN0074;"DS-7684WRT-L1 4 Kanal DVR Kayıt Cihazı 
HD-TVI & AHD & HDCVI Kayıt Cihazı, 1 SATA(4CH HDTVI + 1CH IP =5CH) 4 Kanal Video kaydı, Dual stream, HDTVI 1080p kamera desteği, Real time 1080p kayıt çözünürlüğü, AHD/HDCVI 1080p kamera desteği, HDMI&VGA, 2xUSB, 1 kanal 1080p IP kamera kaydı, 1x SATA Portu (Her port maks. 4TB destekler), 1xRJ-45 10/100Mbps, Çift yönlü ses desteği, H.265+ Desteği, HDTVI, CVBS, AHD, HDCVI Kamera Desteği";$112,00;$37,00;USD;"DS-7104HGHI-K1 4 Kanal DVR Kayıt Cihazı 
HD-TVI & AHD & HDCVI Kayıt Cihazı, 1 SATA(4CH HDTVI + 1CH IP =5CH) 4 Kanal Video kaydı, Dual stream, HDTVI 1080p kamera desteği, Real time 1080p kayıt çözünürlüğü, AHD/HDCVI 1080p kamera desteği, HDMI&VGA, 2xUSB, 1 kanal 1080p IP kamera kaydı, 1x SATA Portu (Her port maks. 4TB destekler), 1xRJ-45 10/100Mbps, Çift yönlü ses desteği, H.265+ Desteği, HDTVI, CVBS, AHD, HDCVI Kamera Desteği";;;;;;
